iteration,episode_reward_mean,iteration_time_sec
1,22.27,14.304639101028442
2,34.45,13.437585592269897
3,56.36,12.138375759124756
4,86.48,12.326321601867676
5,133.38,11.97561264038086
6,153.7,12.238996028900146
7,211.27,12.08060097694397
8,268.71,12.135497093200684
9,307.85,12.475233554840088
10,335.04,12.380326509475708
11,369.63,11.997828722000122
12,397.62,12.629388332366943
13,437.62,12.367839813232422
14,461.29,12.44051718711853
15,475.53,11.996768712997437
16,491.51,12.038696527481079
17,496.16,12.568693161010742
18,486.6,12.147370338439941
19,487.56,12.063641548156738
20,487.56,12.291174173355103
